pitcher_id,StartVsRelief,pitch_count
112526,Starter,383
276351,Reliever,159
276542,Reliever,88
279571,Reliever,89
282332,Starter,355
285064,Starter,202
285079,Starter,480
407793,Starter,360
407822,Starter,429
407845,Reliever,143
407890,Starter,475
407908,Reliever,144
408061,Reliever,149
408241,Starter,399
424144,Reliever,99
425426,Reliever,128
425492,Reliever,196
425626,Reliever,270
425657,Reliever,86
425794,Starter,436
425844,Starter,580
425856,Reliever,171
429719,Reliever,70
429722,Starter,336
429780,Reliever,130
430580,Starter,333
430589,Reliever,127
430599,Reliever,147
430641,Reliever,197
430661,Reliever,89
430912,Starter,474
430935,Starter,410
431148,Starter,450
432934,Starter,456
433579,Starter,387
433586,Reliever,131
433587,Starter,517
433589,Reliever,177
434137,Reliever,77
434378,Starter,535
434442,Reliever,117
434538,Starter,490
434622,Starter,423
434628,Starter,357
434671,Starter,480
434718,Reliever,94
435043,Reliever,132
444436,Reliever,110
444468,Reliever,81
444520,Reliever,150
444857,Starter,409
445060,Starter,396
445276,Reliever,143
445926,Reliever,154
445968,Reliever,126
446099,Reliever,194
446321,Reliever,89
446372,Starter,490
446399,Reliever,177
446899,Reliever,193
447714,Reliever,75
448178,Reliever,149
448179,Starter,481
448281,Reliever,162
448306,Starter,477
448609,Reliever,163
448614,Reliever,241
448802,Starter,483
449097,Reliever,149
449104,Reliever,176
450172,Starter,523
450203,Starter,276
450212,Reliever,105
450275,Reliever,122
450282,Reliever,48
450308,Starter,363
450665,Starter,353
450729,Starter,380
451085,Reliever,41
451584,Reliever,162
451596,Starter,335
451661,Reliever,169
451775,Reliever,233
452657,Starter,500
452666,Reliever,143
453178,Starter,411
453192,Reliever,103
453214,Starter,457
453249,Reliever,99
453265,Reliever,195
453286,Starter,523
453329,Starter,499
453343,Reliever,157
453385,Reliever,63
453562,Starter,499
453646,Reliever,212
455009,Reliever,189
455374,Reliever,193
456027,Reliever,156
456034,Starter,515
456068,Starter,113
456124,Reliever,25
456167,Starter,397
456501,Starter,511
456696,Reliever,227
457429,Reliever,151
457732,Reliever,77
457768,Reliever,164
457779,Reliever,19
457918,Starter,481
458006,Reliever,145
458537,Reliever,84
458584,Reliever,106
458677,Reliever,153
458678,Reliever,85
458708,Starter,225
459429,Reliever,150
459987,Starter,96
460024,Reliever,145
460059,Starter,382
460283,Reliever,110
460701,Reliever,116
461325,Reliever,150
461829,Starter,393
461833,Starter,440
462136,Starter,408
462382,Reliever,172
462985,Reliever,7
465657,Reliever,205
467008,Reliever,136
467100,Reliever,164
468396,Reliever,220
468504,Starter,339
471822,Reliever,105
471911,Starter,313
472551,Reliever,150
472610,Reliever,15
473879,Reliever,136
474029,Reliever,139
474284,Reliever,244
474521,Reliever,144
474668,Starter,373
474699,Starter,216
475115,Starter,91
475138,Reliever,52
475243,Reliever,87
475479,Reliever,230
476451,Starter,439
476454,Reliever,198
476589,Reliever,128
477003,Starter,446
477132,Starter,514
477569,Reliever,199
488748,Reliever,209
488768,Starter,465
488786,Reliever,178
488984,Reliever,7
489119,Starter,477
489265,Reliever,51
489446,Reliever,171
491646,Reliever,230
491703,Reliever,200
491708,Reliever,226
493157,Reliever,150
493200,Reliever,226
500724,Reliever,107
500779,Starter,497
501381,Starter,498
501593,Reliever,21
501625,Reliever,197
501697,Reliever,20
501789,Reliever,157
501817,Reliever,157
501822,Reliever,243
501925,Reliever,167
501936,Reliever,64
501955,Reliever,89
501957,Starter,397
501992,Starter,392
502004,Reliever,73
502009,Starter,475
502026,Reliever,116
502028,Reliever,187
502032,Starter,428
502042,Starter,586
502043,Starter,381
502046,Starter,365
502083,Reliever,153
502085,Reliever,152
502154,Reliever,158
502188,Starter,515
502190,Starter,449
502239,Reliever,156
502272,Reliever,192
502327,Starter,514
502381,Reliever,116
502457,Reliever,111
502522,Reliever,181
502593,Reliever,139
502624,Starter,473
502706,Starter,495
503285,Reliever,174
503449,Starter,442
504186,Reliever,46
504379,Starter,471
515052,Reliever,20
516414,Reliever,43
516969,Reliever,173
517008,Reliever,123
517414,Reliever,306
517593,Starter,405
518452,Starter,487
518468,Reliever,196
518516,Starter,503
518553,Reliever,167
518617,Reliever,123
518633,Reliever,167
518693,Reliever,179
518715,Reliever,129
518716,Reliever,192
518748,Reliever,98
518774,Starter,466
518790,Reliever,109
518858,Reliever,156
518875,Reliever,107
518886,Reliever,189
518927,Reliever,82
519008,Reliever,167
519043,Starter,519
519076,Starter,480
519085,Reliever,228
519096,Reliever,78
519141,Starter,394
519144,Starter,516
519151,Reliever,227
519166,Reliever,98
519240,Reliever,143
519242,Starter,525
519263,Reliever,193
519301,Reliever,39
519322,Reliever,145
519326,Reliever,175
519381,Reliever,91
519437,Reliever,123
519455,Starter,517
520980,Reliever,157
521230,Reliever,218
523260,Starter,219
523989,Starter,384
527048,Starter,469
527054,Starter,491
527055,Reliever,134
532077,Reliever,150
533167,Starter,384
534812,Reliever,166
534910,Starter,81
541640,Starter,261
542432,Reliever,71
542587,Reliever,89
542609,Reliever,64
542674,Reliever,82
542960,Reliever,232
543017,Reliever,121
543022,Starter,484
543037,Starter,383
543045,Starter,423
543054,Starter,301
543135,Starter,395
543144,Reliever,107
543243,Starter,468
543261,Reliever,154
543272,Reliever,168
543278,Reliever,99
543294,Starter,321
543331,Reliever,214
543339,Reliever,162
543359,Reliever,142
543380,Starter,419
543391,Reliever,49
543408,Starter,346
543456,Reliever,288
543475,Starter,291
543506,Reliever,213
543507,Reliever,273
543521,Starter,436
543532,Starter,203
543542,Reliever,29
543548,Starter,365
543557,Reliever,162
543606,Starter,502
543699,Starter,507
543726,Reliever,177
543734,Starter,216
543746,Reliever,85
543766,Reliever,182
543779,Reliever,138
543859,Reliever,229
543883,Reliever,123
543900,Reliever,27
543901,Reliever,133
543935,Reliever,97
543964,Reliever,192
544727,Reliever,189
544836,Reliever,140
544928,Reliever,112
544931,Starter,509
544993,Reliever,113
545332,Reliever,139
545333,Starter,292
547749,Reliever,144
547874,Starter,471
547888,Starter,468
548337,Starter,266
548357,Starter,214
548389,Starter,463
553878,Reliever,195
554234,Starter,211
554340,Reliever,124
570632,Reliever,91
570649,Starter,473
570663,Reliever,210
570666,Reliever,36
570714,Starter,178
571035,Reliever,44
571510,Reliever,69
571561,Reliever,178
571578,Starter,453
571584,Reliever,200
571656,Reliever,100
571666,Starter,468
571704,Reliever,207
571710,Reliever,245
571735,Reliever,48
571760,Starter,87
571800,Starter,95
571882,Reliever,69
571893,Reliever,83
571927,Starter,361
571946,Starter,378
572038,Reliever,18
572070,Starter,536
572096,Reliever,156
572102,Reliever,69
572193,Reliever,22
572362,Starter,204
572403,Reliever,198
572750,Reliever,41
572788,Reliever,83
572888,Starter,249
572971,Starter,529
572990,Reliever,16
573046,Reliever,136
573064,Reliever,98
573109,Reliever,158
573124,Reliever,11
573185,Starter,407
573186,Starter,492
580792,Reliever,71
592091,Reliever,11
592102,Reliever,191
592127,Reliever,196
592135,Reliever,59
592222,Reliever,65
592332,Starter,185
592341,Reliever,33
592351,Starter,191
592390,Reliever,138
592454,Reliever,14
592593,Starter,99
592612,Reliever,140
592662,Starter,465
592665,Reliever,194
592717,Starter,481
592741,Reliever,122
592767,Starter,499
592789,Starter,392
592804,Reliever,169
592811,Reliever,14
592826,Starter,370
592836,Starter,436
592869,Starter,282
593140,Starter,149
593372,Starter,370
593576,Reliever,211
594736,Starter,346
594760,Starter,165
594798,Starter,256
594857,Reliever,64
594951,Reliever,108
594986,Reliever,149
595014,Reliever,124
595191,Starter,474
595307,Reliever,154
595345,Reliever,93
595465,Reliever,28
596064,Starter,178
596112,Starter,192
598264,Reliever,200
598287,Reliever,163
599998,Reliever,25
605135,Starter,503
605151,Starter,105
605164,Reliever,158
605177,Reliever,133
605200,Starter,261
605226,Reliever,79
605228,Starter,491
605232,Starter,477
605242,Starter,93
605309,Reliever,138
605359,Reliever,83
605388,Starter,97
605396,Reliever,3
605400,Starter,452
605452,Starter,330
605483,Starter,90
605538,Starter,367
605541,Starter,391
606131,Reliever,200
606160,Reliever,48
606273,Reliever,26
606965,Starter,255
607067,Starter,494
607074,Starter,447
607231,Reliever,140
607259,Reliever,21
607309,Reliever,120
607352,Reliever,121
607374,Starter,377
607457,Reliever,135
608032,Reliever,112
608379,Starter,482
608648,Starter,180
608665,Starter,377
608678,Reliever,43
611093,Reliever,62
612434,Reliever,91
612672,Starter,460
621199,Reliever,142
621209,Starter,288
621244,Starter,93
621281,Reliever,145
621295,Reliever,37
621385,Reliever,25
621397,Reliever,47
621408,Reliever,14
622072,Starter,472
622663,Starter,359
623184,Reliever,60
623430,Reliever,224
628317,Starter,472
628452,Starter,487
640455,Starter,87
641490,Reliever,10
643297,Reliever,27
643325,Reliever,27
648737,Reliever,176
657205,Reliever,3
657670,Reliever,96
